	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
CDPCR3	CDPCR3	CDPCR3	9/388	56/12383	5.4538295447497e-05	0.000105085983911031	1.30686544504058e-05	NTN1/CDK2AP1/POU2F1/FOXG1/ZNF710/CER1/FGF10/ZIC1/ZIC4	9
ER	ER	ER	22/388	276/12383	5.75808297215605e-05	0.000110053682612982	1.36864450951078e-05	LOX/LOXL4/DLG2/ZNF827/FST/PLEC/FAM49A/BTBD3/ZNF503/HEXIM2/ESRRB/ESRRG/TRPS1/SORBS2/NR2F1/MID1/DUSP4/PDGFB/HOXA5/TEF/PHF1/DNAJB4	22
HAND1E47	HAND1E47	HAND1E47	22/388	277/12383	6.07778975121965e-05	0.000115234893683125	1.43307884660337e-05	MRPS18B/SOX5/TFDP2/HOXB6/MBNL1/CDK2AP1/POU2F1/DCHS2/GRHL3/BTBD3/COL12A1/STAG1/CNTLN/PCF11/ZNF238/DMD/IL1RAPL1/KLF5/JPH1/BAMBI/RBMS3/NRG1	22
MAF	MAF	MAF	21/388	259/12383	6.62817175551292e-05	0.000124672754448933	1.55044953345331e-05	FOXP2/PAX6/MGLL/HEPACAM/CHD2/GRHL3/ZNF238/PDGFRA/ESRRG/ZNF710/PROK2/CSRNP3/S1PR2/MLL/POU2AF1/GABRA3/HOXB8/DYRK1A/NXPH4/GGNBP2/R3HDM1	21
TBP	TBP	TBP	20/388	245/12383	8.97901532737944e-05	0.000167561152172356	2.08381623843037e-05	SOX5/MEIS1/ATXN7L1/POU4F1/DLG2/PPP2R2A/PLEC/GRIN2B/DMD/HOXA10/PLAGL2/ESRRG/EPHA7/RAB5B/IGF1/TTC17/COL1A2/ASB4/TEF/NDST4	20
ZF5	ZF5	ZF5	30/388	454/12383	9.50547192479482e-05	0.000175999753607529	2.18875998268302e-05	DDIT3/TFAP4/PRIMA1/NEUROG1/NTN1/POU4F1/IGF2BP1/CDK2AP1/PRDM16/ZNF827/EPC1/ZFP91/GRIN2B/NAV2/BCL2L1/HEXIM2/ZNF521/ARHGAP44/CBX2/PPP3CA/PHF15/PDGFB/FGF12/BRSK2/DSCAML1/GABRA3/NXPH4/ARID4A/TRIM8/PHC2	30
ETS	ETS	ETS	20/388	247/12383	0.000100424719942129	0.000184501229661121	2.2944856453526e-05	GATA3/DDIT3/FGFR2/FOXP1/PAX6/CHD2/PDLIM2/ZFP91/OMA1/EGFLAM/HOXA10/MGAT4A/ZMAT3/ZNF296/ZNF687/PDGFB/CAPZA1/MLL/ST7L/GGNBP2	20
IK2	IK2	IK2	21/388	267/12383	0.000102401574047023	0.00018668594653188	2.32165512009444e-05	ATOH7/HOXA3/ATXN7L1/HOXB2/SHC3/ACTB/LTBP1/FAM49A/GRIN2B/COL12A1/STAG2/MYH1/PCF11/ARHGAP44/SLC26A6/SGCD/FOXO4/CAPZA1/ASB4/NAPB/ST7L	21
HFH3	HFH3	HFH3	17/388	191/12383	0.000105814278487318	0.00019143499237782	2.38071498404573e-05	SIX5/ATXN7L1/FOXP2/DLG2/OTX2/COLEC10/NAV3/HESX1/DMD/HOXA10/BAI3/PCDH17/BUB3/MID1/SMARCA2/HOXB8/UBXN10	17
CACCCBINDINGFACTOR	CACCCBINDINGFACTOR	CACCCBINDINGFACTOR	21/388	268/12383	0.000107966565868755	0.000193849061446174	2.41073671796263e-05	CNTFR/MEIS1/IGF2BP1/OTX2/PRDM16/SEPT7/CITED2/STAG2/PCF11/HEXIM2/LHX9/PCDH17/EPHA7/KIAA0182/ZNF296/FOXO4/RAB30/RBMS3/HOXB8/DYRK1A/NRG1	21
IRF7	IRF7	IRF7	20/388	252/12383	0.000132039870064884	0.000235289091769756	2.92609130337694e-05	LOX/MRPS18B/SOX5/SOX4/FOXP2/SALL3/DTX3L/TRPM3/ESR1/PPP2R2A/PRDM16/COL12A1/DMD/HOXA10/LHX9/EPHA7/PAPD5/GDNF/CACNA2D3/HOXB8	20
MEIS1BHOXA9	MEIS1BHOXA9	MEIS1BHOXA9	14/388	145/12383	0.000182434217646154	0.000322663504344316	4.01269292544564e-05	MRPS18B/DRD3/TFAP4/HOXA3/TFDP2/OTX2/MBNL1/RPLP0/PHOX2B/ZNF238/DMD/ESRRG/ZIC4/PTH1R	14
RORA1	RORA1	RORA1	19/388	242/12383	0.000222430921080852	0.000390489839230828	4.85619164932853e-05	CNTFR/FBXW7/HOXA3/GPRIN3/MYLK/CHD2/BTBD3/CNTLN/CACNB2/ARX/EGFLAM/ESRRB/PCDH18/EPHA7/ZNF296/ZNF687/BCL9/ASPH/IP6K2	19
LYF1	LYF1	LYF1	20/388	264/12383	0.000246172076074109	0.000428991044335028	5.33499855268966e-05	DRD3/MEIS1/HOXA2/HOXA3/GPC3/DLG2/CDK2AP1/PLEC/STAG2/CNTLN/IL1RAPL1/ARHGAP44/GPR85/PAPD5/FOXO4/PHF15/FGF10/HOXB8/ZIC4/IP6K2	20
STAT3	STAT3	STAT3	15/388	168/12383	0.000257921665403035	0.000446185654748315	5.5488333701767e-05	DDIT3/GPC3/LTBP1/NAV2/ARX/MAML1/EPHA7/ZNF296/FOXO4/ZBTB11/CAPZA1/MLL/NAPB/ST7L/CLDN5	15
XBP1	XBP1	XBP1	13/388	133/12383	0.00027289143150502	0.000468661371497751	5.82834483763581e-05	MRPS18B/HOXA3/PAX1/ZNF827/EPC1/PPP2R3A/IL1RAPL1/TP53INP2/MANF/PCYT1B/C17orf28/DNAJB4/SOX21	13
TGIF	TGIF	TGIF	19/388	247/12383	0.000288687052889595	0.000492221809603122	6.12134606657225e-05	SOX4/HOXA2/FOXP2/HOXB2/DNAJB5/PIK3R3/BTBD3/LHFP/PDGFRA/DENND4A/BAI3/DYNC1I1/ANKRD12/JPH1/PPP3CA/MYF6/CAPZA1/ST7L/NXPH4	19
ICSBP	ICSBP	ICSBP	19/388	248/12383	0.000303832138773616	0.000514344406352479	6.39646607944455e-05	SATB2/CNTFR/HOXA3/TFDP2/DTX3L/POU4F1/DLG2/TRPM3/ESR1/ZFPM1/PRDM16/PIK3R3/ZNF238/IL1RAPL1/MGAT4A/SEMA6D/ZNF296/PHF15/PHF6	19
NCX	NCX	NCX	15/388	171/12383	0.000312545247585136	0.000521642420265332	6.48722530198948e-05	PAX1/GPC3/DLG2/OTX2/ESR1/PHOX2B/EMX2/NR2F1/ANKRD28/PDZRN4/PHF15/SPTLC2/SESN3/BMX/IP6K2	15
PAX5	PAX5	PAX5	15/388	171/12383	0.000312545247585136	0.000521642420265332	6.48722530198948e-05	GRHL3/MAP3K5/STAG2/DMD/HOXA10/PLAGL2/ZNF710/NR2F1/PDZRN4/PHF15/ARID1A/TNFAIP8/SESN3/MYH10/NRG1	15
T3R	T3R	T3R	19/388	251/12383	0.000353504622208961	0.000585878289954712	7.28607244891491e-05	DRD3/SOX5/PAX6/PAX1/DCHS2/CITED2/STAG2/EPHA7/KIAA0182/BCL9/ATP1A2/RAB30/LRP5/MANF/FGF12/SIPA1/FOXA1/CACNA2D3/NXPH4	19
E4BP4	E4BP4	E4BP4	23/388	336/12383	0.000378631805028485	0.000623164845776049	7.74977378713274e-05	ATOH7/CEPT1/FBXW7/TFDP2/MYLK/PIK3R3/FST/DCAKD/DENND4A/DMD/HOXA10/IL1RAPL1/ESRRG/ARHGAP44/H3F3A/ZNF687/C15orf26/FKRP/DNAJA2/NMT1/TRIM8/TSC22D3/IP6K2	23
HMEF2	HMEF2	HMEF2	13/388	138/12383	0.000391788981041181	0.000640372334529378	7.96376876163562e-05	AFF4/MBNL1/GRIN2B/ZNF238/DMD/EPHA7/CSRNP3/CAPN1/DNAJA2/CACNA2D3/ZIC4/UBXN10/KLHL20	13
EGR2	EGR2	EGR2	16/388	199/12383	0.000529708692963597	0.000859869590632688	0.000106934703698491	DSCAM/TFAP4/SOX4/HOXA3/GPRIN3/HOXB6/IGF2BP1/MAN2A2/BAI3/KLF5/KCNIP2/KIAA0182/PDGFB/CSTF3/UBXN10/CLTC	16
ZIC1	ZIC1	ZIC1	19/388	261/12383	0.00057366695803431	0.000924891626218581	0.000115020943966779	MRPS18B/ATXN7L1/NTN1/DNAJB5/MBNL1/SAMD12/POU2F1/ZNF503/ERBB4/HEXIM2/HOXA10/ZNF654/PDGFB/FGF10/SLC4A1/SIPA1/HOXB8/PHEX/NRG1	19
AP2ALPHA	AP2ALPHA	AP2ALPHA	18/388	241/12383	0.000588942651835726	0.000943104111385588	0.000117285876610244	DSCAM/TFAP4/SOX5/HOXA3/LOXL4/IGF2BP1/PRDM16/PDLIM2/RAB5C/JPH1/PHF15/PDGFB/ARID1A/DSCAML1/TSSK3/FKRP/NXPH4/PHC2	18
GCM	GCM	GCM	18/388	242/12383	0.000618394487342814	0.000983620761746624	0.000122324589513238	KRTAP8-1/DNAJB5/MBNL1/XRCC1/STAG2/EMX2/ADD3/DAAM1/BAI3/PLAGL2/KLF5/NTRK2/SORBS2/HSD3B7/PDGFB/ARID1A/SESN3/TRIM8	18
Q3	Q3	Q3	27/388	438/12383	0.000632508477078128	0.000999363393783442	0.000124282367425878	GATA3/SATB2/MEIS1/FLJ45983/NTN1/PRDM16/PIK3R3/PDS5B/CITED2/STAG2/STAG1/ROR1/ARX/DMD/KLF5/MAML1/ZNF521/TRPS1/JPH1/DHH/ZNF687/TTC17/PHF15/EIF5/S1PR2/USP1/ARID4A	27
PPARA	PPARA	PPARA	14/388	164/12383	0.000646008478877719	0.00101393383770874	0.000126094370223605	NEUROG1/LOXL4/DLG2/PRDM16/CHD2/ADD3/PLAGL2/KLF5/ESRRG/DHH/PDGFB/HOXA5/DNAJA2/MYH10	14
CEBPA	CEBPA	CEBPA	18/388	244/12383	0.000681121664032581	0.00104933125062485	0.000130496446890943	FBXW7/FOXP2/OTX2/ESR1/MBNL1/FST/COLEC10/SIRPA/CACNB2/IL1RAPL1/GPR85/SORBS2/JPH1/RAB30/PDGFB/SPTLC2/SMARCA2/TRIM8	18
PTF1BETA	PTF1BETA	PTF1BETA	18/388	244/12383	0.000681121664032581	0.00104933125062485	0.000130496446890943	SOX4/FOXP2/HOXB6/GPC6/PPP2R2A/CHD2/DCAKD/ROR1/BCL2L1/DMD/IL1RAPL1/C11orf92/ZNF521/PCDH17/SRGAP2/ZIC1/SMARCA2/NMT1	18
MYOGNF1	MYOGNF1	MYOGNF1	7/388	48/12383	0.000682168793079587	0.00104933125062485	0.000130496446890943	HOXA3/HOXB6/MYLK/IL1RAPL1/EPHA7/TUSC2/DNAJB4	7
ARP1	ARP1	ARP1	14/388	165/12383	0.00068627149302469	0.00104933125062485	0.000130496446890943	MRPS18B/HOXA3/SKIL/FOXP2/DLG2/OTX2/HEPACAM/CHD2/DMD/ESRRG/JPH1/PDZRN4/PDGFB/SIPA1	14
IK3	IK3	IK3	17/388	225/12383	0.000729449816852057	0.00110522333666199	0.000137447272602868	GATA3/SIX5/CEPT1/FLJ45983/TRPM3/GRIN2B/STAG2/PCF11/BAI3/LHX9/RTN1/PROK2/SLC26A6/RUFY3/FGF10/ARPC2/TSC22D3	17
TFIII	TFIII	TFIII	16/388	205/12383	0.000732152168168494	0.00110522333666199	0.000137447272602868	GATA3/SIX5/TFAP4/PAX1/SOX13/POU2F1/C14orf1/EMX2/PPP2R5E/ESRRG/FOXG1/ARHGAP44/RAB5B/ATP1A2/CAPN1/MTA2	16
NERF	NERF	NERF	18/388	247/12383	0.000785445869885512	0.00117816880482827	0.000146518883123213	DDIT3/LSAMP/FGFR2/PAX6/SHC3/ZFPM1/CHD2/EFNA1/OMA1/EGFLAM/ZMAT3/HN1/MID1/CAPZA1/ROBO4/ATOH8/ST7L/GGNBP2	18
MTF1	MTF1	MTF1	18/388	252/12383	0.000989817259519999	0.00147538799060528	0.000183481517819	SPARCL1/CNTFR/MYLK/GPC6/MGLL/DLG2/POU2F1/FST/PLEC/ZFP91/COL12A1/SRSF8/FOXO4/PPP3CA/BCL9/PHF15/FGFR1OP2/SMARCA2	18
AHRARNT	AHRARNT	AHRARNT	13/388	153/12383	0.0010424972732055	0.00154419908593564	0.00019203897137996	TFAP4/SOX4/SESN2/PAX6/MBNL1/STC2/NAGLU/PCDH17/PDGFB/USP1/HOXA5/PHF1/IP6K2	13
NGFIC	NGFIC	NGFIC	18/388	255/12383	0.0011330253080282	0.00166786955281171	0.000207418820691662	TFAP4/HOXA2/NTN1/IGF2BP1/MAN2A2/ZFPM1/ZNF827/MAP3K5/LRRC4/STC2/PCDH17/KCNIP2/JPH1/KIAA0182/PHF15/PDGFB/CLTC/IP6K2	18
PXR	PXR	PXR	18/388	256/12383	0.00118452587544648	0.00173291748444948	0.000215508281432757	MRPS18B/AFF4/MEIS1/SSBP3/CDK2AP1/CHD2/GRIN2B/DMD/HOXA10/IL1RAPL1/RAB5C/BCL9/CSRNP3/PHF15/MANF/ASB4/UBXN10/NRG1	18
PAX6	PAX6	PAX6	10/388	101/12383	0.00123414315142626	0.00179442899931303	0.00022315794794921	DSCAM/SOX4/CNTFR/MBNL1/PHOX2B/PDGFRA/DMD/JPH1/SLC26A6/POU2AF1	10
HSF	HSF	HSF	20/388	301/12383	0.00129257118542819	0.0018679229935761	0.000232297774017902	SESN2/CEPT1/HOXA2/NEUROG1/FOXP1/DNAJB5/PPP2R2A/LTBP1/STAG2/C11orf92/MAP6/RTN1/NR2F1/PDZRN4/MID1/PHF15/FGF10/TNFAIP8/LRRN4CL/PHF6	20
COUP	COUP	COUP	18/388	263/12383	0.00160395902731123	0.00230386842104704	0.000286512617318753	HOXA3/PAX6/PRDM16/ZNF827/PLEC/ZNF238/PPP2R3A/DMD/HOXA10/ESRRG/NR2F1/CSRNP3/PDGFB/FGF12/DNAJA2/FOXA1/ZIC4/PTH1R	18
DR1	DR1	DR1	28/388	492/12383	0.00169996769194112	0.00242706230716895	0.000301833198315481	HHEX/NFE2L2/SOX5/CNTFR/HOXA3/HOXB6/PAX6/IGF2BP1/PRDM16/PLEC/ROR1/DMD/RAB5C/FNDC9/NR2F1/SLC26A6/INHBC/CSRNP3/GDNF/HOXA5/TEF/DNAJA2/FOXA1/ZIC4/MYH10/ARID4A/PTH1R/IP6K2	28
TCF1P	TCF1P	TCF1P	18/388	266/12383	0.00181886880908653	0.00258126890870364	0.000321010568259835	TFDP2/PAX6/DLG2/PLEC/STAG2/CNTLN/EMX2/ARX/ESRRG/FOXG1/EPHA7/ZNF654/JPH1/KIAA0182/SRGAP2/TEF/LRRN4CL/R3HDM1	18
AP2GAMMA	AP2GAMMA	AP2GAMMA	17/388	250/12383	0.00229194755499318	0.00323328315793681	0.000402096062279506	DSCAM/SOX5/HOXA3/IGF2BP1/PRDM16/PDLIM2/ZNF687/TRIM28/PDGFB/ARID1A/SIPA1/DSCAML1/TSSK3/FKRP/NXPH4/GGNBP2/PHC2	17
FREAC4	FREAC4	FREAC4	12/388	150/12383	0.00267050755738838	0.00374503130829021	0.000465737848688101	LOX/FOXP2/CITED2/BTBD3/ROR1/PPP2R3A/TRPS1/PDZRN4/IGF1/PHEX/UBXN10/PTH1R	12
TCF11MAFG	TCF11MAFG	TCF11MAFG	25/388	437/12383	0.00276616328190321	0.00385635704594741	0.000479582488503343	SOX5/FOXP1/FOXP2/OMG/LOXL4/ESR1/SAMD12/PLEC/PFN2/DMD/DYNC1I1/C11orf92/FOXG1/ZNF296/CRYGS/PDGFB/EIF5/FGF12/KLHL3/SPTLC2/SMARCA2/HOXB8/ZIC4/CLTC/NRG1	25
STAT1	STAT1	STAT1	22/388	367/12383	0.00278520569154847	0.00386019736197069	0.000480060076105616	GATA3/HHEX/SOX4/HOXB2/HOXB6/PAX6/ZFPM1/GRIN2B/PCF11/DMD/FOXG1/DHH/CSNK1A1/PHF15/LRP5/SPTLC2/SNX9/DNAJA2/MYH10/NXPH4/CLDN5/NRG1	22
MYOGENIN	MYOGENIN	MYOGENIN	17/388	255/12383	0.00281658024508689	0.00388098557026508	0.000482645329635453	LOXL4/IGF2BP1/C11orf87/ZFP91/FAM49A/PCF11/ZNF238/DAAM1/KCNQ1DN/KCNIP2/LRP5/ATOH8/ARID1A/SIPA1/C17orf28/GGNBP2/TRIM8	17
E2F1	E2F1	E2F1	27/388	490/12383	0.00320580981861798	0.0043917741445807	0.000546167781693358	SIX5/TFAP4/MEIS1/PAX6/SSBP3/CDK2AP1/PIK3R3/ZNF827/PDS5B/EPC1/STAG2/STAG1/PHOX2B/ZNF238/PPP2R5E/FIZ1/DMD/KLF5/ZNF524/JPH1/ZNF687/TRIM28/PHF15/USP1/TMSL3/MYH10/ARID4A	27
STAT5B	STAT5B	STAT5B	22/388	375/12383	0.00361159290565744	0.00491923861287824	0.00061176407355359	LSAMP/HOXA2/GPR21/HOXA3/FN1/POU4F1/FST/PLEC/XRCC1/PHOX2B/PMCH/MYO18A/PPP2R3A/KCNQ1DN/SEMA6D/HSD3B7/BCL9/DUSP4/PHF15/ASPH/ARID1A/CLDN5	22
MEIS1AHOXA9	MEIS1AHOXA9	MEIS1AHOXA9	10/388	117/12383	0.00368789100540287	0.00499445810445989	0.000621118485120484	MRPS18B/TFAP4/SOX4/HOXA3/OTX2/PHOX2B/ZNF238/LHX9/ESRRG/ANKRD12	10
AHR	AHR	AHR	17/388	266/12383	0.00432817584020758	0.00582828223937043	0.00072481413591993	DDIT3/MEIS1/DSTN/POU2F1/PIK3R3/ZNF827/ZFP91/GRIN2B/BTBD3/STAG1/DMD/PLAGL2/ZNF521/FGFR1OP2/ASPH/BRSK2/NRG1	17
EGR1	EGR1	EGR1	17/388	269/12383	0.00483998808953275	0.00648066201818792	0.000805945087760435	HHEX/HOXA2/FOXP2/DNAJB5/MGLL/IGF2BP1/MAN2A2/ZFPM1/ZNF827/PCDH17/PDGFB/USP1/HOXA5/HOXB8/SCN8A/UBXN10/CLTC	17
ISRE	ISRE	ISRE	16/388	247/12383	0.00488805955372294	0.006508259068721	0.000809377099374586	MEIS1/KRTAP8-1/ATXN7L1/DTX3L/ESR1/HEPACAM/ZFPM1/PRDM16/PIK3R3/COL12A1/ADD3/IL1RAPL1/SEMA6D/MAP2/PROK2/ZNF296	16
EGR	EGR	EGR	17/388	275/12383	0.00601260021597199	0.00796081704572828	0.000990019441618441	HHEX/HOXA3/CACNA1D/DNAJB5/MGLL/IGF2BP1/CDK2AP1/VKORC1L1/HEXIM2/PCDH17/PPP3CA/PHF15/PDGFB/MTA2/SIPA1/C17orf28/HOXB8	17
01	01	01	16/388	253/12383	0.00613329465328287	0.00807550462682245	0.00100428216544983	DRD3/CNTFR/LEAP2/PRDM16/PIK3R3/ACTB/ZNF238/HOXA10/RAB5C/NR2F1/SLC26A6/INHBC/DNAJA2/ZIC4/MYH10/NXPH4	16
HTF	HTF	HTF	7/388	72/12383	0.00719452938073866	0.00942046112284564	0.00117154302216157	IL1RAPL1/BUB3/PHF15/COL1A2/C17orf28/ZIC4/DNAJB4	7
STAT	STAT	STAT	24/388	452/12383	0.0082895071375439	0.0107945779758127	0.00134243030567513	LSAMP/FGFR2/HOXA2/FBXW7/HOXA3/FN1/CACNA1D/POU4F1/PLEC/XRCC1/FAM49A/GRIN2B/MYO18A/ADD3/PPP2R3A/DMD/KCNQ1DN/RTN1/HSD3B7/BCL9/DUSP4/PHF15/ASPH/DNAJA2	24
AML1	AML1	AML1	16/388	263/12383	0.00876954704582405	0.0112955578796755	0.00140473293640202	SOX5/PAX6/POU2F1/GRHL3/SCN3B/NAV3/PCF11/ZNF238/ITGA10/PXN/RAB5B/PDZRN4/RAB30/LRP5/FGD4/SCN8A	16
BACH1	BACH1	BACH1	16/388	263/12383	0.00876954704582405	0.0112955578796755	0.00140473293640202	DDIT3/SHC3/ZNF827/PLEC/PCDH17/MAP2/KIAA0182/PROK2/ANKRD28/RAB30/FGF12/GDNF/S1PR2/FOXA1/DYRK1A/TRIM8	16
MAZR	MAZR	MAZR	14/388	220/12383	0.00950824609019403	0.0121808341804107	0.0015148272576127	HOXB6/PAX6/EFNA1/DDAH2/STC2/ZNF503/PCF11/IL1RAPL1/ARHGAP44/TRPS1/RAB5C/FOXA1/ZIC4/NXPH4	14
NFMUE1	NFMUE1	NFMUE1	15/388	245/12383	0.0103819768928923	0.0131690140626113	0.00163771882635184	HOXA2/OTX2/CHD2/POU2F1/SEPT7/EPC1/ZFP91/STAG1/STRN4/PCF11/MAML1/MID1/PHF15/EIF5/FKRP	15
AP1FJ	AP1FJ	AP1FJ	16/388	268/12383	0.0103907410536216	0.0131690140626113	0.00163771882635184	LRRC3B/OMG/DNAJB5/DSTN/SHC3/EFNA1/NTRK2/MAP2/HPSE2/CRYGS/FGF12/ATOH8/SDCBP/SMARCA2/VDR/TRIM8	16
FXR	FXR	FXR	9/388	116/12383	0.0106280978869084	0.0133981872297728	0.00166621915360266	ATOH7/OTX2/STC2/DMD/NR2F1/BAMBI/ZIC1/ZIC4/R3HDM1	9
ZIC2	ZIC2	ZIC2	15/388	247/12383	0.0111298517024698	0.0139564807062717	0.00173564938829939	SESN2/FBXW7/FOXP1/HOXB2/DNAJB5/PDLIM2/PPP2R5E/DAAM1/HEXIM2/HOXA10/GPR85/FGF12/HOXB8/PHF6/CLTC	15
BACH2	BACH2	BACH2	16/388	271/12383	0.0114719560948619	0.014309755760433	0.00177958321693149	DDIT3/HOXB6/SHC3/SAMD12/ZNF827/EFNA1/PLEC/RPLP0/DMD/PCDH17/PROK2/RAB30/GDNF/S1PR2/VDR/FOXA1	16
NFKB	NFKB	NFKB	21/388	391/12383	0.0115955834081887	0.0143882370038782	0.00178934326497263	SIX5/SOX5/SESN2/HOXB2/HOXB6/DNAJB5/IGF2BP1/FTHL17/EBF1/STC2/TMEM27/PPP2R5E/BCL2L1/IL1RAPL1/ARHGAP44/HSD3B7/PPP3CA/PDZRN4/S1PR2/PHF6/IP6K2	21
HOX13	HOX13	HOX13	5/388	46/12383	0.0140594871302175	0.0173546794263622	0.00215825460332286	EMX2/COLEC10/IGF1/FOXA1/TRIM8	5
ATF1	ATF1	ATF1	14/388	231/12383	0.0141400019099512	0.0173636292883857	0.00215936762191783	DDIT3/AFF4/FOXP1/PAX1/DLG2/C11orf87/STC2/ZNF238/ESRRG/NTRK2/KCNIP2/KIAA0182/GDNF/TSC22D3	14
PAX8	PAX8	PAX8	9/388	122/12383	0.0144580703286528	0.0176626941643851	0.00219655978948604	NEUROG1/DLG2/PIK3R3/CITED2/DMD/KCNQ1DN/HOXB8/CLTC/NRG1	9
PEA3	PEA3	PEA3	15/388	255/12383	0.0145535587803519	0.0176881714407354	0.00219972818272525	GATA3/HHEX/PAX6/SSBP3/EPC1/GRIN2B/OMA1/ZNF687/PDZRN4/RAB30/CAPZA1/POU2AF1/SIPA1/ST7L/TRIM8	15
ATF6	ATF6	ATF6	9/388	123/12383	0.0151841559631904	0.0183604334861027	0.00228333172378804	MRPS18B/PAX1/GRIN2B/STAG1/IL1RAPL1/NTRK2/LENG9/DUSP4/GDNF	9
AP2	AP2	AP2	23/388	454/12383	0.0161337024920849	0.0194095811706808	0.00241380534212331	HOXB2/MGLL/POU4F1/PRDM16/POU2F1/ACTB/FST/EPC1/STAG2/EMX2/ZNF503/PPP2R5E/PLAGL2/KIAA0182/TRIM28/PDGFB/ZIC1/SLC4A1/MTA2/ARID1A/NXPH4/GGNBP2/NRG1	23
GRE	GRE	GRE	9/388	126/12383	0.0175235381160937	0.0209751441086576	0.00260850115497407	LSAMP/HOXA3/DCHS2/WT1-AS/ARX/JPH1/NR2F1/TSSK3/NRG1	9
PAX3	PAX3	PAX3	14/388	239/12383	0.0184814190253143	0.0220105342160779	0.002737263859872	MRPS18B/AFF4/SHC3/DLG2/LTBP1/PLEC/EPC1/BTBD3/ZNF521/FGF10/ZIC1/RNF146/TNFAIP8/TRIM8	14
RORA2	RORA2	RORA2	10/388	151/12383	0.0204618077962563	0.0242472422385637	0.00301542430681671	GPRIN3/HOXB2/MYLK/FAM49A/DMD/EGFLAM/ESRRB/EPHA7/SORBS2/ASPH	10
LFA1	LFA1	LFA1	14/388	246/12383	0.0230518787617874	0.0271805734653911	0.00338021788599135	SOX5/NEUROG1/POU4F1/ZFPM1/C11orf87/PLEC/FIZ1/ZNF524/RAB5C/DHH/ARID1A/SESN3/ARID4A/CLTC	14
AP2REP	AP2REP	AP2REP	11/388	178/12383	0.0245045675396877	0.0287504084500297	0.00357544497713005	TRPM3/PIK3R3/WT1-AS/DAAM1/ARHGAP44/JPH1/PDZRN4/MLL/ARID1A/NRG1/PHC2	11
ETF	ETF	ETF	8/388	117/12383	0.0306260001794511	0.0357554780420192	0.00444660619665351	SSBP3/SOX13/PRDM16/POU2F1/EPC1/H3F3A/ZNF687/ARID1A	8
CREL	CREL	CREL	14/388	256/12383	0.0309824477990358	0.0359943143547622	0.00447630824753872	SIX5/SOX5/FTHL17/PIK3R3/EBF1/STC2/IL1RAPL1/HGF/FGF12/S1PR2/ARPC2/ZIC4/NXPH4/CLDN5	14
E2F1DP2	E2F1DP2	E2F1DP2	13/388	236/12383	0.0349915989775052	0.0404537022325304	0.0050308845769969	TFAP4/PAX6/POU4F1/STAG2/STAG1/ZNF503/FIZ1/DMD/ZNF524/ZNF687/PHF15/MYH10/ARID4A	13
E2F4DP1	E2F4DP1	E2F4DP1	13/388	239/12383	0.0381340444586917	0.0438726627995628	0.00545607176721189	TFAP4/PAX6/POU4F1/STAG2/STAG1/ZNF503/FIZ1/DMD/ZNF524/ZNF687/PHF15/MYH10/ARID4A	13
ARNT	ARNT	ARNT	20/388	418/12383	0.039974489962136	0.0455478563510877	0.00566440141163871	DSCAM/TFAP4/AFF4/PAX6/IGF2BP1/MBNL1/EPC1/ZFP91/ANKRD12/JPH1/RAB30/PDGFB/MANF/ZIC1/RNF146/MLL/TSSK3/TEF/UBXN10/CLTC	20
CREBP1	CREBP1	CREBP1	20/388	418/12383	0.039974489962136	0.0455478563510877	0.00566440141163871	HHEX/MRPS18B/AFF4/FBXW7/HOXA3/MBNL1/PPP2R2A/C11orf87/LTBP1/DENND4A/DMD/IL1RAPL1/ARHGAP44/ZBTB11/ZNF687/TP53INP2/FKRP/TRIM8/TSC22D3/IP6K2	20
